,제목,내용
0,'코로나 확진' 가락시장·강남역 지하상가 폐쇄,"  시민의 발인 지하철 강남역도 코로나에 뚫렸습니다. 정주영 기자입니다. 【 기자 】 국내 최대 농수산물... 걱정이에요."" 하루 평균 이용객이 14만 명에 달하는 서울 강남역 지하상가가 썰렁합니다. 환경미화원 1명이... "
1,'미화원 확진' 강남역 지하상가 오늘까지 폐쇄,  강남역 지하도 상가가 오늘(10일) 밤 12시까지 폐쇄됩니다. 상가관리소 소속 환경미화원 1명이 어제(9일) 확진 판정을 받은 데 따른 조치입니다. 서울시와 서울시설공단은 강남역 지하도 상가 전 구역에 소독과 방역작업을... 
2,강남역 지하도상가 코로나19 확진자 발생,"  서울시와 서울시설공단은 지난 9일 강남역 지하도상가 환경미화원 1명이 신종 코로나바이러스 감염증(코로나19) 확진 판정을 받음에 따라, 10일 자정까지 시민비상 이동통로를 제외한 강남역 전구역을... "
3,강남역 지하도상가 폐쇄…미화원 코로나19 확진,  서울 강남 대표 번화가인 강남역 지하도상가가 폐쇄된다. 신종 코로나바이러스 감염증(코로나19) 확진자가 나와서다. 9일 서울시와 서울시설공단에 따르면 오는 10일 밤 12시까지 강남역지하도상가를 폐쇄한다. 폐쇄... 
4,서울 강남역 지하상가 내일밤까지 폐쇄…미화원 확진,  12시까지 강남역지하도상가를 폐쇄한다고 밝혔습니다. 강남지하도상가관리소 소속 환경미화원 1명이 9일 서초구보건소로부터 코로나19 확진 통보를 받은 데 따른 것입니다. 서울시와 공단은 강남역 지하도상가 전... 
5,"'코로나19' 강남역도 뚫렸다…시민들 ""불안해도 안탈 수 있나""","  서울지하철 8호선 기관사, 강남역 환경미화원 등 확진 사례가 나오자 시민들은 불안감 속에서도 ""어쩔 수 없다""며 대중교통을 이용하고 있었다. 10일 오전 9시쯤 폐쇄된 지하상가를 거쳐 강남역을 이용하고 있던 시민들은... "
6,'코로나 확진' 가락시장·강남역 지하상가 폐쇄,"  시민의 발인 지하철 강남역도 코로나에 뚫렸습니다. 정주영 기자입니다. 【 기자 】 국내 최대 농수산물... 걱정이에요."" 하루 평균 이용객이 14만 명에 달하는 서울 강남역 지하상가가 썰렁합니다. 환경미화원 1명이... "
7,서울 다중시설 곳곳서 감염…가락몰·강남역 폐쇄,"  강남역 지하도상가에서는 환경미화원 1명이 확진돼, 어제 오후 5시쯤부터 상가 전체가 폐쇄됐습니다. 이곳 역시 우선 오늘 밤까지 폐쇄조치가 계속됩니다. 다만 이동을 위해 비상 통로는 이용할 수 있습니다. 서울시는... "
8,강남역 확진자 나와도…먹고 살려고 지하철 탑니다,"  서울지하철 8호선 기관사, 강남역 환경미화원 등 확진 사례가 나오자 시민들은 불안감 속에서도 ""어쩔 수 없다""며 대중교통을 이용하고 있었다. 10일 오전 9시쯤 폐쇄된 지하상가를 거쳐 강남역을 이용하고 있던 시민들은... "
9,[포토] 확진자 나온 서울 강남역 지하상가 일시 폐쇄,  9일 신종 코로나바이러스 감염증(코로나19) 확진 판정을 받았다. 공단은 시민 비상이동로를 제외한 강남역 지하도상가 전 구역을 10일 밤 12시까지 폐쇄했다. 시민들이 폐쇄된 강남역 지하도상가를 지나쳐 걸어가고 있다. 
